"__leidenCluster","__mclCluster","__mcodeCluster","Host_organism_taxid","interaction","irefindex_check","mean_prob_aff","method","name","numParticipants","OP_A","OP_B","OP_check","Predicted Classes","Probability Score","Regression Value","score_norm","selected","shared interaction","shared name","stringdb_check","uidA","uidA_irefindex","uidB","uidB_irefindex"
"1","1","1","","interacts with","0","0.476426165","","MYC (interacts with) PHC2",,"1","0","1","1","0.551219512","0.401632818",,"false","interacts with","MYC (interacts with) PHC2","0","P01106","","Q8IXK0",""
"1","1","1","","interacts with","0","0.476426262","","MYC (interacts with) FILIP1",,"1","0","1","1","0.551219512","0.401633012",,"false","interacts with","MYC (interacts with) FILIP1","0","P01106","","Q7Z7B0",""
"1","1","1","","interacts with","0","0.47642647","","MYC (interacts with) OR2A7",,"1","0","1","1","0.551219512","0.401633427",,"false","interacts with","MYC (interacts with) OR2A7","0","P01106","","Q96R45",""
"1","1","1","","interacts with","0","0.46423127","","MYC (interacts with) STAP1",,"1","0","1","1","0.526829268","0.401633272",,"false","interacts with","MYC (interacts with) STAP1","0","P01106","","Q9ULZ2",""
"1","1",,"","interacts with","0","0.476426451","","MYC (interacts with) OR10A2",,"1","0","1","1","0.551219512","0.401633389",,"false","interacts with","MYC (interacts with) OR10A2","0","P01106","","Q9H208",""
"1","1",,"","interacts with","0","0.476426301","","MYC (interacts with) METTL15P1",,"1","0","1","1","0.551219512","0.40163309",,"false","interacts with","MYC (interacts with) METTL15P1","0","P01106","","P0C7V9",""
"1","1",,"","interacts with","0","0.476426303","","MYC (interacts with) ZNF668",,"1","0","1","1","0.551219512","0.401633095",,"false","interacts with","MYC (interacts with) ZNF668","0","P01106","","Q96K58",""
"1","1","1","","interacts with","0","0.476426152","","MYC (interacts with) PMS2",,"1","0","1","1","0.551219512","0.401632792",,"false","interacts with","MYC (interacts with) PMS2","0","P01106","","P54278",""
"1","1",,"","interacts with","0","0.464231204","","MYC (interacts with) SAMD15",,"1","0","1","1","0.526829268","0.401633139",,"false","interacts with","MYC (interacts with) SAMD15","0","P01106","","Q9P1V8",""
"1","1","1","","interacts with","0","0.476426267","","PSMA4 (interacts with) TRAF6",,"0","1","1","1","0.551219512","0.401633023",,"false","interacts with","PSMA4 (interacts with) TRAF6","0","P25789","","Q9Y4K3",""
"1","1","1","","interacts with","0","0.461752951","","PSMA4 (interacts with) TRIB1",,"0","0","0","1","0.52195122","0.401554683",,"false","interacts with","PSMA4 (interacts with) TRIB1","0","P25789","","Q96RU8",""
"1","1",,"","interacts with","0","0.476387053","","PSMA4 (interacts with) PMS2",,"0","0","0","1","0.551219512","0.401554594",,"false","interacts with","PSMA4 (interacts with) PMS2","0","P25789","","P54278",""
"1","1",,"","interacts with","0","0.461753265","","PSMA4 (interacts with) MAGEB17",,"0","0","0","1","0.52195122","0.40155531",,"false","interacts with","PSMA4 (interacts with) MAGEB17","0","P25789","","A8MXT2",""
,"1",,"","interacts with","0","0.564067694","","PSMA4 (interacts with) UBA2",,"0","0","0","1","0.726829268","0.401306119",,"false","interacts with","PSMA4 (interacts with) UBA2","0","P25789","","Q9UBT2",""
"1","1",,"","interacts with","0","0.464192195","","PSMA4 (interacts with) ELAVL2",,"0","0","0","1","0.526829268","0.401555122",,"false","interacts with","PSMA4 (interacts with) ELAVL2","0","P25789","","Q12926",""
"1","1","1","","interacts with","0","0.56406767","","PSMA4 (interacts with) TRIM38",,"0","0","0","1","0.726829268","0.401306072",,"false","interacts with","PSMA4 (interacts with) TRIM38","0","P25789","","O00635",""
,"1","1","","interacts with","0","0.461753467","","PSMA4 (interacts with) KLF3",,"0","0","0","1","0.52195122","0.401555715",,"false","interacts with","PSMA4 (interacts with) KLF3","0","P25789","","P57682",""
"1","1","1","","interacts with","0","0.469109671","","PSMA4 (interacts with) UCP3",,"0","0","0","1","0.536585366","0.401633975",,"false","interacts with","PSMA4 (interacts with) UCP3","0","P25789","","P55916",""
"1","1",,"","interacts with","0","0.47638729","","PSMA4 (interacts with) MAGEB6B",,"0","0","0","1","0.551219512","0.401555068",,"false","interacts with","PSMA4 (interacts with) MAGEB6B","0","P25789","","A0A0J9YX57",""
,"1",,"","interacts with","0","0.564135752","","PSMA4 (interacts with) AGR2",,"0","0","0","1","0.726829268","0.401442235",,"false","interacts with","PSMA4 (interacts with) AGR2","0","P25789","","O95994",""
"1","1",,"","interacts with","0","0.476387049","","PSMA4 (interacts with) PHC2",,"0","0","0","1","0.551219512","0.401554585",,"false","interacts with","PSMA4 (interacts with) PHC2","0","P25789","","Q8IXK0",""
"1","1",,"","interacts with","0","0.476387539","","PSMA4 (interacts with) MSI1",,"0","0","0","1","0.551219512","0.401555566",,"false","interacts with","PSMA4 (interacts with) MSI1","0","P25789","","O43347",""
"1","1",,"","interacts with","0","0.464191986","","PSMA4 (interacts with) C17orf75",,"0","0","0","1","0.526829268","0.401554704",,"false","interacts with","PSMA4 (interacts with) C17orf75","0","P25789","","Q9HAS0",""
"1","1",,"","interacts with","0","0.461754737","","PSMA4 (interacts with) OR2A7",,"0","0","0","1","0.52195122","0.401558255",,"false","interacts with","PSMA4 (interacts with) OR2A7","0","P25789","","Q96R45",""
"1","1",,"","interacts with","0","0.476426251","","CALCA (interacts with) COL9A3",,"1","0","1","1","0.551219512","0.401632989",,"false","interacts with","CALCA (interacts with) COL9A3","0","P01258","","Q14050",""
,"1","1","","interacts with","0","0.464231159","","CALCA (interacts with) RPS27L",,"1","0","1","1","0.526829268","0.401633049",,"false","interacts with","CALCA (interacts with) RPS27L","0","P01258","","Q71UM5",""
"1","1",,"","interacts with","0","0.464231485","","CALCA (interacts with) DYNLRB2",,"1","0","1","1","0.526829268","0.401633703",,"false","interacts with","CALCA (interacts with) DYNLRB2","0","P01258","","Q8TF09",""
"1","1",,"","interacts with","0","0.47642627","","CALCA (interacts with) SREK1",,"1","0","1","1","0.551219512","0.401633029",,"false","interacts with","CALCA (interacts with) SREK1","0","P01258","","Q8WXA9",""
"1","1",,"","interacts with","0","0.461792268","","CALCA (interacts with) TAC3",,"1","0","1","1","0.52195122","0.401633317",,"false","interacts with","CALCA (interacts with) TAC3","0","P01258","","Q9UHF0",""
"1","1",,"","interacts with","0","0.464231219","","CALCA (interacts with) LINC00208",,"1","0","1","1","0.526829268","0.40163317",,"false","interacts with","CALCA (interacts with) LINC00208","0","P01258","","Q96KT6",""
"1","1",,"","interacts with","0","0.46423137","","CALCA (interacts with) SPANXN1",,"1","0","1","1","0.526829268","0.401633472",,"false","interacts with","CALCA (interacts with) SPANXN1","0","P01258","","Q5VSR9",""
"1","1",,"","interacts with","0","0.464231218","","CALCA (interacts with) C12orf60",,"1","0","1","1","0.526829268","0.401633167",,"false","interacts with","CALCA (interacts with) C12orf60","0","P01258","","Q5U649",""
"1","1","1","","interacts with","0","0.621471331","","CALCA (interacts with) CALCA",,"1","1","1","1","0.834146341","0.408796321",,"false","interacts with","CALCA (interacts with) CALCA","0","P01258","","P01258",""
"1","1",,"","interacts with","0","0.476426223","","CALCA (interacts with) TLNRD1",,"1","0","1","1","0.551219512","0.401632933",,"false","interacts with","CALCA (interacts with) TLNRD1","0","P01258","","Q9H1K6",""
"1","1","1","","interacts with","0","0.476426236","","XPNPEP2 (interacts with) NOS3",,"0","1","1","1","0.551219512","0.401632959",,"false","interacts with","XPNPEP2 (interacts with) NOS3","0","O43895","","P29474",""
"1","1","1","","interacts with","0","0.654684947","","NOS3 (interacts with) NOS3",,"1","1","1","1","0.902439024","0.406930869",,"false","interacts with","NOS3 (interacts with) NOS3","0","P29474","","P29474",""
"1","1","1","","interacts with","0","0.461816176","","NOS3 (interacts with) ATRX",,"1","0","1","1","0.52195122","0.401681133",,"false","interacts with","NOS3 (interacts with) ATRX","0","P29474","","P46100",""
"1","1","1","","interacts with","0","0.461792166","","IGLV1-51 (interacts with) SOST",,"0","1","1","1","0.52195122","0.401633112",,"false","interacts with","IGLV1-51 (interacts with) SOST","0","P01701","","Q9BQB4",""
"1","1","1","","interacts with","0","0.4764262","","SOST (interacts with) TCFL5",,"1","0","1","1","0.551219512","0.401632888",,"false","interacts with","SOST (interacts with) TCFL5","0","Q9BQB4","","Q9UL49",""
"1","1","1","","interacts with","0","0.476426328","","SOST (interacts with) ATXN10",,"1","0","1","1","0.551219512","0.401633143",,"false","interacts with","SOST (interacts with) ATXN10","0","Q9BQB4","","Q9UBB4",""
"1","1","1","","interacts with","0","0.469109272","","SOST (interacts with) AMDHD2",,"1","0","1","1","0.536585366","0.401633179",,"false","interacts with","SOST (interacts with) AMDHD2","0","Q9BQB4","","Q9Y303",""
"1","1","1","","interacts with","0","0.476426176","","SOST (interacts with) SPZ1",,"1","0","1","1","0.551219512","0.401632839",,"false","interacts with","SOST (interacts with) SPZ1","0","Q9BQB4","","Q9BXG8",""
"1","1","1","","interacts with","0","0.476426227","","SOST (interacts with) RANBP3",,"1","0","1","1","0.551219512","0.401632942",,"false","interacts with","SOST (interacts with) RANBP3","0","Q9BQB4","","Q9H6Z4",""
"1","1","1","","interacts with","0","0.476426266","","SOST (interacts with) HEYL",,"1","0","1","1","0.551219512","0.40163302",,"false","interacts with","SOST (interacts with) HEYL","0","Q9BQB4","","Q9NQ87",""
,"1",,"","interacts with","0","0.476426301","","MYCN (interacts with) TSR3",,"1","0","1","1","0.551219512","0.40163309",,"false","interacts with","MYCN (interacts with) TSR3","0","P04198","","Q9UJK0",""
"1","1","1","","interacts with","0","0.476426267","","MYCN (interacts with) RAB38",,"1","0","1","1","0.551219512","0.401633023",,"false","interacts with","MYCN (interacts with) RAB38","0","P04198","","P57729",""
,"1",,"","interacts with","0","0.476426217","","MYCN (interacts with) UBE2I",,"1","0","1","1","0.551219512","0.401632921",,"false","interacts with","MYCN (interacts with) UBE2I","0","P04198","","P63279",""
"1","1","1","","interacts with","0","0.476426272","","MYCN (interacts with) TDGF1",,"1","0","1","1","0.551219512","0.401633033","0.146054181","false","interacts with","MYCN (interacts with) TDGF1","1","P04198","","P13385",""
"1","1",,"","interacts with","0","0.464231282","","MYCN (interacts with) ARF5",,"1","0","1","1","0.526829268","0.401633295",,"false","interacts with","MYCN (interacts with) ARF5","0","P04198","","P84085",""
"1","1",,"","interacts with","0","0.47642656","","MYCN (interacts with) FAM117B",,"1","0","1","1","0.551219512","0.401633607",,"false","interacts with","MYCN (interacts with) FAM117B","0","P04198","","Q6P1L5",""
"1","1",,"","interacts with","0","0.464231164","","MYCN (interacts with) CFAP418",,"1","0","1","1","0.526829268","0.40163306",,"false","interacts with","MYCN (interacts with) CFAP418","0","P04198","","Q96NL8",""
,"1",,"","interacts with","0","0.464231237","","MYCN (interacts with) RPIA",,"1","0","1","1","0.526829268","0.401633205",,"false","interacts with","MYCN (interacts with) RPIA","0","P04198","","P49247",""
,"1",,"","interacts with","0","0.476426218","","MYCN (interacts with) UBE2G1",,"1","0","1","1","0.551219512","0.401632923",,"false","interacts with","MYCN (interacts with) UBE2G1","0","P04198","","P62253",""
"1","1",,"","interacts with","0","0.476426257","","MYCN (interacts with) SYT14P1",,"1","0","1","1","0.551219512","0.401633001",,"false","interacts with","MYCN (interacts with) SYT14P1","0","P04198","","Q58G82",""
,"1",,"","interacts with","0","0.476426339","","MYCN (interacts with) CNTF",,"1","0","1","1","0.551219512","0.401633165",,"false","interacts with","MYCN (interacts with) CNTF","0","P04198","","P26441",""
"1","1",,"","interacts with","0","0.464231328","","MYCN (interacts with) ARHGAP11B",,"1","0","1","1","0.526829268","0.401633388",,"false","interacts with","MYCN (interacts with) ARHGAP11B","0","P04198","","Q3KRB8",""
"1","1",,"","interacts with","0","0.46423117","","MYCN (interacts with) PDCL2",,"1","0","1","1","0.526829268","0.401633073",,"false","interacts with","MYCN (interacts with) PDCL2","0","P04198","","Q8N4E4",""
"1","1",,"","interacts with","0","0.47642623","","MYCN (interacts with) UBE2W",,"1","0","1","1","0.551219512","0.401632947",,"false","interacts with","MYCN (interacts with) UBE2W","0","P04198","","Q96B02",""
,"1",,"","interacts with","0","0.469109212","","MYCN (interacts with) RRAD",,"1","0","1","1","0.536585366","0.401633058",,"false","interacts with","MYCN (interacts with) RRAD","0","P04198","","P55042",""
"1","1",,"","interacts with","0","0.464231188","","MYCN (interacts with) SINHCAF",,"1","0","1","1","0.526829268","0.401633108",,"false","interacts with","MYCN (interacts with) SINHCAF","0","P04198","","Q9NP50",""
"1","1","1","","interacts with","0","0.476426418","","MYCN (interacts with) HDGFL1",,"1","0","1","1","0.551219512","0.401633324",,"false","interacts with","MYCN (interacts with) HDGFL1","0","P04198","","Q5TGJ6",""
,"1","1","","interacts with","0","0.476426267","","MYCN (interacts with) ARF1",,"1","0","1","1","0.551219512","0.401633021",,"false","interacts with","MYCN (interacts with) ARF1","0","P04198","","P84077",""
"1","1",,"","interacts with","0","0.464231201","","MYCN (interacts with) SFRP2",,"1","0","1","1","0.526829268","0.401633133",,"false","interacts with","MYCN (interacts with) SFRP2","0","P04198","","Q96HF1",""
"1","1","1","","interacts with","0","0.476426356","","MYCN (interacts with) PRXL2A",,"1","0","1","1","0.551219512","0.4016332",,"false","interacts with","MYCN (interacts with) PRXL2A","0","P04198","","Q9BRX8",""
"1","1",,"","interacts with","0","0.476426318","","MYCN (interacts with) C11orf40",,"1","0","1","1","0.551219512","0.401633124",,"false","interacts with","MYCN (interacts with) C11orf40","0","P04198","","Q8WZ69",""
"1","1","1","","interacts with","0","0.476426307","","MYCN (interacts with) ARPIN",,"1","0","1","1","0.551219512","0.401633101",,"false","interacts with","MYCN (interacts with) ARPIN","0","P04198","","Q7Z6K5",""
"1","1","1","","interacts with","0","0.464231198","","MYCN (interacts with) CHCT1",,"1","0","1","1","0.526829268","0.401633128",,"false","interacts with","MYCN (interacts with) CHCT1","0","P04198","","Q86WR6",""
"1","1","1","","interacts with","0","0.46423124","","MYCN (interacts with) PRELID2",,"1","0","1","1","0.526829268","0.401633212",,"false","interacts with","MYCN (interacts with) PRELID2","0","P04198","","Q8N945",""
"1","1","1","","interacts with","0","0.47642622","","BMP7 (interacts with) FAM83C",,"1","0","1","1","0.551219512","0.401632929",,"false","interacts with","BMP7 (interacts with) FAM83C","0","P18075","","Q9BQN1",""
"1","1","1","","interacts with","0","0.476426264","","BMP7 (interacts with) ARHGAP28",,"1","0","1","1","0.551219512","0.401633017",,"false","interacts with","BMP7 (interacts with) ARHGAP28","0","P18075","","Q9P2N2",""
"1","1","1","","interacts with","0","0.476426285","","BMP7 (interacts with) IL16",,"1","0","1","1","0.551219512","0.401633058",,"false","interacts with","BMP7 (interacts with) IL16","0","P18075","","Q14005",""
"1","1","1","","interacts with","0","0.476426197","","BMP7 (interacts with) SULT1A1",,"1","0","1","1","0.551219512","0.401632883",,"false","interacts with","BMP7 (interacts with) SULT1A1","0","P18075","","P50225",""
"1","1",,"","interacts with","0","0.476426256","","BMP7 (interacts with) SH3D19",,"1","0","1","1","0.551219512","0.401633",,"false","interacts with","BMP7 (interacts with) SH3D19","0","P18075","","Q5HYK7",""
"1","1","1","","interacts with","0","0.476426321","","BMP7 (interacts with) ASXL2",,"1","0","1","1","0.551219512","0.40163313",,"false","interacts with","BMP7 (interacts with) ASXL2","0","P18075","","Q76L83",""
"1","1","1","","interacts with","0","0.464231184","","BMP7 (interacts with) SYT9",,"1","0","1","1","0.526829268","0.4016331",,"false","interacts with","BMP7 (interacts with) SYT9","0","P18075","","Q86SS6",""
"1","1","1","","interacts with","0","0.476426233","","BMP7 (interacts with) FAM184B",,"1","0","1","1","0.551219512","0.401632953",,"false","interacts with","BMP7 (interacts with) FAM184B","0","P18075","","Q9ULE4",""
"1","1","1","","interacts with","0","0.464231188","","BMP7 (interacts with) NXPH1",,"1","0","1","1","0.526829268","0.401633108",,"false","interacts with","BMP7 (interacts with) NXPH1","0","P18075","","P58417",""
"1","1","1","","interacts with","0","0.607495679","","BMP7 (interacts with) BMP7",,"1","1","1","1","0.814634146","0.400357211",,"false","interacts with","BMP7 (interacts with) BMP7","0","P18075","","P18075",""
"1","1","1","","interacts with","0","0.476426241","","RELA (interacts with) OR51A4",,"1","0","1","1","0.551219512","0.401632969",,"false","interacts with","RELA (interacts with) OR51A4","0","Q04206","","Q8NGJ6",""
,"1","1","","interacts with","0","0.476426183","","RELA (interacts with) EGR3",,"1","0","1","1","0.551219512","0.401632855",,"false","interacts with","RELA (interacts with) EGR3","0","Q04206","","Q06889",""
,"1",,"","interacts with","0","0.476426237","","RELA (interacts with) MSI2",,"1","0","1","1","0.551219512","0.401632963",,"false","interacts with","RELA (interacts with) MSI2","0","Q04206","","Q96DH6",""
"1","1","1","","interacts with","0","0.476426305","","RELA (interacts with) OR1M1",,"1","0","1","1","0.551219512","0.401633097",,"false","interacts with","RELA (interacts with) OR1M1","0","Q04206","","Q8NGA1",""
,"1","1","","interacts with","0","0.476426252","","RELA (interacts with) DUSP4",,"1","0","1","1","0.551219512","0.401632991",,"false","interacts with","RELA (interacts with) DUSP4","0","Q04206","","Q13115",""
"1","1","1","","interacts with","0","0.476426406","","RELA (interacts with) OR10D3",,"1","0","1","1","0.551219512","0.4016333",,"false","interacts with","RELA (interacts with) OR10D3","0","Q04206","","Q8NH80",""
"1","1","1","taxid:9606(Homo sapiens)","interacts with","1","0.666044958","""psi-mi:""""MI:0364""""(inferred by curator)""","RELA (interacts with) RELA","2","1","1","1","1","0.926829268","0.405260648",,"false","interacts with","RELA (interacts with) RELA","0","Q04206","Q04206","Q04206","Q04206"
"1","1","1","","interacts with","0","0.476426242","","RELA (interacts with) BEAN1",,"1","0","1","1","0.551219512","0.401632972",,"false","interacts with","RELA (interacts with) BEAN1","0","Q04206","","Q3B7T3",""
"1","1",,"","interacts with","0","0.476426198","","RELA (interacts with) FGF13",,"1","0","1","1","0.551219512","0.401632884",,"false","interacts with","RELA (interacts with) FGF13","0","Q04206","","Q92913",""
,"1","1","","interacts with","0","0.476426326","","RELA (interacts with) OR14C36",,"1","0","1","1","0.551219512","0.401633139",,"false","interacts with","RELA (interacts with) OR14C36","0","Q04206","","Q8NHC7",""
,"1","1","","interacts with","0","0.476426242","","RELA (interacts with) KRTAP8-1",,"1","0","1","1","0.551219512","0.401632973",,"false","interacts with","RELA (interacts with) KRTAP8-1","0","Q04206","","Q8IUC2",""
"1","1",,"","interacts with","0","0.476426208","","RELA (interacts with) NAA11",,"1","0","1","1","0.551219512","0.401632904",,"false","interacts with","RELA (interacts with) NAA11","0","Q04206","","Q9BSU3",""
"1","1","1","","interacts with","0","0.476426243","","RELA (interacts with) PJVK",,"1","0","1","1","0.551219512","0.401632974",,"false","interacts with","RELA (interacts with) PJVK","0","Q04206","","Q0ZLH3",""
,"1","1","","interacts with","0","0.476426343","","RELA (interacts with) OR7G2",,"1","0","1","1","0.551219512","0.401633174",,"false","interacts with","RELA (interacts with) OR7G2","0","Q04206","","Q8NG99",""
"1","1",,"","interacts with","0","0.476426228","","RELA (interacts with) C1orf43",,"1","0","1","1","0.551219512","0.401632944",,"false","interacts with","RELA (interacts with) C1orf43","0","Q04206","","Q9BWL3",""
"1","1","1","","interacts with","0","0.476426316","","RELA (interacts with) OR7A2P",,"1","0","1","1","0.551219512","0.401633119",,"false","interacts with","RELA (interacts with) OR7A2P","0","Q04206","","Q8NGA2",""
,"1","1","","interacts with","0","0.476426248","","RELA (interacts with) DAZAP2",,"1","0","1","1","0.551219512","0.401632984",,"false","interacts with","RELA (interacts with) DAZAP2","0","Q04206","","Q15038",""
"1","1","1","","interacts with","0","0.47642628","","RELA (interacts with) SCRT2",,"1","0","1","1","0.551219512","0.401633047",,"false","interacts with","RELA (interacts with) SCRT2","0","Q04206","","Q9NQ03",""
,"1","1","","interacts with","0","0.476426387","","RELA (interacts with) OR10T2",,"1","0","1","1","0.551219512","0.401633262",,"false","interacts with","RELA (interacts with) OR10T2","0","Q04206","","Q8NGX3",""
"1","1",,"","interacts with","0","0.476426221","","RELA (interacts with) CXorf66",,"1","0","1","1","0.551219512","0.40163293",,"false","interacts with","RELA (interacts with) CXorf66","0","Q04206","","Q5JRM2",""
"1","1","1","","interacts with","0","0.476426221","","RELA (interacts with) COA7",,"1","0","1","1","0.551219512","0.40163293",,"false","interacts with","RELA (interacts with) COA7","0","Q04206","","Q96BR5",""
,"1","1","","interacts with","0","0.476426463","","RELA (interacts with) OR10G6",,"1","0","1","1","0.551219512","0.401633413",,"false","interacts with","RELA (interacts with) OR10G6","0","Q04206","","Q8NH81",""
"1","1","1","","interacts with","0","0.476426233","","RELA (interacts with) C1QL2",,"1","0","1","1","0.551219512","0.401632954",,"false","interacts with","RELA (interacts with) C1QL2","0","Q04206","","Q7Z5L3",""
,"1",,"","interacts with","0","0.476426245","","RELA (interacts with) EAPP",,"1","0","1","1","0.551219512","0.401632977",,"false","interacts with","RELA (interacts with) EAPP","0","Q04206","","Q56P03",""
,"1","1","","interacts with","0","0.47642638","","RELA (interacts with) OR51I2",,"1","0","1","1","0.551219512","0.401633249",,"false","interacts with","RELA (interacts with) OR51I2","0","Q04206","","Q9H344",""
"1","1","1","","interacts with","0","0.464231291","","RELA (interacts with) OR6C1",,"1","0","1","1","0.526829268","0.401633313",,"false","interacts with","RELA (interacts with) OR6C1","0","Q04206","","Q96RD1",""
"1","1","1","","interacts with","0","0.476426257","","RELA (interacts with) CCSER1",,"1","0","1","1","0.551219512","0.401633003",,"false","interacts with","RELA (interacts with) CCSER1","0","Q04206","","Q9C0I3",""
"1","1","1","","interacts with","0","0.476387245","","OR51A4 (interacts with) CCSER1",,"0","0","0","1","0.551219512","0.401554978",,"false","interacts with","OR51A4 (interacts with) CCSER1","0","Q8NGJ6","","Q9C0I3",""
"1","1","1","","interacts with","0","0.464231269","","AKT1 (interacts with) KLHL40",,"1","0","1","1","0.526829268","0.40163327",,"false","interacts with","AKT1 (interacts with) KLHL40","0","P31749","","Q2TBA0",""
"1","1",,"","interacts with","0","0.47642624","","AKT1 (interacts with) PDXDC1",,"1","0","1","1","0.551219512","0.401632967",,"false","interacts with","AKT1 (interacts with) PDXDC1","0","P31749","","Q6P996",""
"1","1","1","","interacts with","0","0.476426176","","AKT1 (interacts with) MIDEAS",,"1","0","1","1","0.551219512","0.40163284",,"false","interacts with","AKT1 (interacts with) MIDEAS","0","P31749","","Q6PJG2",""
"1","1","1","","interacts with","0","0.476426286","","AKT1 (interacts with) CNTLN",,"1","0","1","1","0.551219512","0.401633059",,"false","interacts with","AKT1 (interacts with) CNTLN","0","P31749","","Q9NXG0",""
"1","1","1","","interacts with","0","0.46181614","","AKT1 (interacts with) ZNF638",,"1","0","1","1","0.52195122","0.401681061",,"false","interacts with","AKT1 (interacts with) ZNF638","0","P31749","","Q14966",""
"1","1","1","","interacts with","0","0.529450212","","AKT1 (interacts with) AKT1",,"1","1","1","1","0.63902439","0.419876033",,"false","interacts with","AKT1 (interacts with) AKT1","0","P31749","","P31749",""
"1","1","1","","interacts with","0","0.476426302","","AKT1 (interacts with) PSG11",,"1","0","1","1","0.551219512","0.401633091",,"false","interacts with","AKT1 (interacts with) PSG11","0","P31749","","Q9UQ72",""
"1","1","1","","interacts with","0","0.476426344","","AKT1 (interacts with) PPWD1",,"1","0","1","1","0.551219512","0.401633176",,"false","interacts with","AKT1 (interacts with) PPWD1","0","P31749","","Q96BP3",""
"1","1",,"","interacts with","0","0.476426357","","AKT1 (interacts with) PDE4B",,"1","0","1","1","0.551219512","0.401633202",,"false","interacts with","AKT1 (interacts with) PDE4B","0","P31749","","Q07343",""
"1","1",,"","interacts with","0","0.476426167","","AKT1 (interacts with) RNASEL",,"1","0","1","1","0.551219512","0.401632822",,"false","interacts with","AKT1 (interacts with) RNASEL","0","P31749","","Q05823",""
"1","1","1","","interacts with","0","0.476426282","","AKT1 (interacts with) DENND2A",,"1","0","1","1","0.551219512","0.401633053",,"false","interacts with","AKT1 (interacts with) DENND2A","0","P31749","","Q9ULE3",""
"1","1","1","","interacts with","0","0.476426148","","AKT1 (interacts with) TRIP11",,"1","0","1","1","0.551219512","0.401632783",,"false","interacts with","AKT1 (interacts with) TRIP11","0","P31749","","Q15643",""
"1","1","1","","interacts with","0","0.476426261","","AKT1 (interacts with) CEP126",,"1","0","1","1","0.551219512","0.401633011",,"false","interacts with","AKT1 (interacts with) CEP126","0","P31749","","Q9P2H0",""
"1","1","1","","interacts with","0","0.47642623","","AKT1 (interacts with) ZNF629",,"1","0","1","1","0.551219512","0.401632948",,"false","interacts with","AKT1 (interacts with) ZNF629","0","P31749","","Q9UEG4",""
"1","1","1","","interacts with","0","0.464231202","","AKT1 (interacts with) SNX33",,"1","0","1","1","0.526829268","0.401633135",,"false","interacts with","AKT1 (interacts with) SNX33","0","P31749","","Q8WV41",""
"1",,,"","interacts with","0","0.561662931","","KLHL40 (interacts with) ZNF219",,"0","0","0","1","0.72195122","0.401374642",,"false","interacts with","KLHL40 (interacts with) ZNF219","0","Q2TBA0","","Q9P2Y4",""
"1",,,"","interacts with","0","0.571498018","","KLHL40 (interacts with) MCM8",,"0","0","0","1","0.741463415","0.401532621",,"false","interacts with","KLHL40 (interacts with) MCM8","0","Q2TBA0","","Q9UJA3",""
"1","1","1","","interacts with","0","0.464192064","","KLHL40 (interacts with) TRIP11",,"0","0","0","1","0.526829268","0.40155486",,"false","interacts with","KLHL40 (interacts with) TRIP11","0","Q2TBA0","","Q15643",""
,"1","1","","interacts with","0","0.47642626","","COL3A1 (interacts with) PTPN18",,"1","0","1","1","0.551219512","0.401633008",,"false","interacts with","COL3A1 (interacts with) PTPN18","0","P02461","","Q99952",""
