,uidA,uidB,Predicted Classes,Probability Score,Regression Value,mean_prob_aff,stringdb_check,score_norm,uidA_irefindex,uidB_irefindex,method,Host_organism_taxid,numParticipants,irefindex_check,GeneA,GeneB,OP_A,OP_B,OP_check
1280,Q9BSW7,Q8WVV4,1,0.7853658536585365,0.4014155745681239,0.5933907141133302,0,,,,,,,0,SYT17,POF1B,0,0,0
1283,Q9BSW7,O75829,1,0.526829268292683,0.4015552976656052,0.464192282979144,0,,,,,,,0,SYT17,CNMD,0,0,0
1312,Q9BSW7,Q0VG06,1,0.551219512195122,0.4015547787185461,0.476387145456834,0,,,,,,,0,SYT17,FAAP100,0,0,0
1313,Q9BSW7,Q7Z4V0,1,0.7463414634146343,0.4013058711098263,0.5738236672622303,0,,,,,,,0,SYT17,ZNF438,0,0,0
1326,Q9BSW7,O95154,1,0.526829268292683,0.4015548030167545,0.4641920356547187,0,,,,,,,0,SYT17,AKR7A3,0,0,0
1334,Q15459,P35453,1,0.526829268292683,0.4015547361637915,0.4641920022282372,0,,,,,,,0,SF3A1,HOXD13,0,0,0
1342,Q9BSW7,P18887,1,0.526829268292683,0.4015554239928111,0.464192346142747,0,,,,,,,0,SYT17,XRCC1,0,0,0
1343,Q9BSW7,O43852,1,0.551219512195122,0.4015552971401332,0.4763874046676276,0,,,,,,,0,SYT17,CALU,0,0,0
1354,Q9BSW7,Q7Z7G1,1,0.551219512195122,0.401557062442647,0.4763882873188845,0,,,,,,,0,SYT17,CLNK,0,0,0
1360,Q9BSW7,O14793,1,0.551219512195122,0.4015552310188069,0.4763873716069644,0,,,,,,,0,SYT17,MSTN,0,0,0
1364,Q9BSW7,P36980,1,0.551219512195122,0.401555092531855,0.4763873023634885,0,,,,,,,0,SYT17,CFHR2,0,0,0
1369,Q9BSW7,Q99705,1,0.526829268292683,0.4015551338704924,0.4641922010815876,0,,,,,,,0,SYT17,MCHR1,0,0,0
1373,Q15459,Q00325,1,0.551219512195122,0.4016332312695364,0.4764263717323291,0,,,,,,,0,SF3A1,SLC25A3,0,0,0
1387,Q9BSW7,Q9BYQ4,1,0.5219512195121951,0.4013066518903907,0.4616289357012929,0,,,,,,,0,SYT17,KRTAP9-2,0,0,0
1401,Q9BSW7,Q9HBW0,1,0.5219512195121951,0.4015556708103229,0.461753445161259,0,,,,,,,0,SYT17,LPAR2,0,0,0
1405,Q9BSW7,P60411,1,0.5219512195121951,0.4013067284622783,0.4616289739872367,0,,,,,,,0,SYT17,KRTAP10-9,0,0,0
1415,Q86YF9,Q16651,1,0.551219512195122,0.4015547108649169,0.4763871115300194,0,,,,,,,0,DZIP1,PRSS8,0,0,0
1424,Q15459,Q96NX5,1,0.551219512195122,0.4015552125353585,0.4763873623652402,0,,,,,,,0,SF3A1,CAMK1G,0,0,0
1431,Q9BSW7,O00755,1,0.526829268292683,0.4015554782726594,0.4641923732826711,0,,,,,,,0,SYT17,WNT7A,0,0,0
1433,Q9BSW7,Q969X2,1,0.551219512195122,0.4015552913094588,0.4763874017522904,0,,,,,,,0,SYT17,ST6GALNAC6,0,0,0
1437,Q9BSW7,Q15777,1,0.551219512195122,0.4015550603805697,0.4763872862878459,0,,,,,,,0,SYT17,MPPED2,0,0,0
1463,Q9BSW7,Q330K2,1,0.526829268292683,0.4015549541030735,0.4641921111978782,0,,,,,,,0,SYT17,NDUFAF6,0,0,0
1477,Q9BSW7,Q9NYA3,1,0.7317073170731707,0.4013211553699226,0.5665142362215466,0,,,,,,,0,SYT17,GOLGA6A,0,0,0
1485,Q9BSW7,P49682,1,0.5219512195121951,0.4015561098813727,0.4617536646967839,0,,,,,,,0,SYT17,CXCR3,0,0,0
1500,Q9BSW7,Q9GZK6,1,0.551219512195122,0.4015555887051062,0.4763875504501141,0,,,,,,,0,SYT17,OR2J1,0,0,0
1503,Q9BSW7,Q9P104,1,0.526829268292683,0.401554888802115,0.4641920785473989,0,,,,,,,0,SYT17,DOK5,0,0,0
1507,Q9BSW7,P12235,1,0.526829268292683,0.4015550560192379,0.4641921621559604,0,,,,,,,0,SYT17,SLC25A4,0,0,0
1524,Q9BSW7,P49756,1,0.5365853658536585,0.4015550264831197,0.4690701961683891,0,,,,,,,0,SYT17,RBM25,0,0,0
1531,Q15459,Q7Z602,1,0.551219512195122,0.4016334149100168,0.4764264635525694,0,,,,,,,0,SF3A1,GPR141,0,0,0
1539,Q9BSW7,P25024,1,0.526829268292683,0.4015558411642029,0.4641925547284429,0,,,,,,,0,SYT17,CXCR1,0,0,0
1571,Q15459,Q8NFQ6,1,0.551219512195122,0.4015555350369657,0.4763875236160438,0,,,,,,,0,SF3A1,BPIFC,0,0,0
1619,Q15459,Q9BYV6,1,0.7268292682926829,0.401306289911426,0.5640677791020544,0,,,,,,,0,SF3A1,TRIM55,0,0,0
1646,Q5TCQ9,P19021,1,0.551219512195122,0.4015549286220558,0.4763872204085889,0,,,,,,,0,MAGI3,PAM,0,0,0
1740,Q5TCQ9,O60602,1,0.551219512195122,0.401555065048348,0.4763872886217349,0,,,,,,,0,MAGI3,TLR5,0,0,0
1757,Q15459,Q96A11,1,0.551219512195122,0.4016333519997201,0.4764264320974211,0,,,,,,,0,SF3A1,GAL3ST3,0,0,0
1891,Q15459,P67775,1,0.551219512195122,0.401554877705364,0.476387194950243,0,,,,,,,0,SF3A1,PPP2CA,0,0,0
1934,Q15459,Q8NGU1,1,0.551219512195122,0.4015551144256236,0.4763873133103727,0,,,,,,,0,SF3A1,OR9A1P,0,0,0
1937,Q15459,Q6QN14,1,0.551219512195122,0.4015549635214585,0.4763872378582902,0,,,,,,,0,SF3A1,USP17L6P,0,0,0
1963,O76036,O15211,1,0.551219512195122,0.4015547208090601,0.476387116502091,0,,,,,,,0,NCR1,RGL2,0,0,0
1983,O76036,Q8TC44,1,0.551219512195122,0.4015553109967072,0.4763874115959146,0,,,,,,,0,NCR1,POC1B,0,0,0
1994,O76036,Q5MNV8,1,0.551219512195122,0.4015556916839284,0.4763876019395252,0,,,,,,,0,NCR1,FBXO47,0,0,0
2002,Q15459,Q9BQA1,1,0.8243902439024391,0.4015306329973965,0.6129604384499178,0,,,,,,,0,SF3A1,WDR77,0,0,0
2004,Q15459,Q8WWZ8,1,0.551219512195122,0.4015551120338209,0.4763873121144714,0,,,,,,,0,SF3A1,OIT3,0,0,0
2022,O76036,H7BZ55,1,0.5219512195121951,0.4016028797654251,0.4617770496388101,0,,,,,,,0,NCR1,CROCC2,0,0,0
2029,O76036,Q8TB24,1,0.5219512195121951,0.4016030840679925,0.4617771517900938,0,,,,,,,0,NCR1,RIN3,0,0,0
2036,O76036,Q13495,1,0.551219512195122,0.4015549369860994,0.4763872245906106,0,,,,,,,0,NCR1,MAMLD1,0,0,0
2037,O76036,Q58F21,1,0.5219512195121951,0.40160303143379,0.4617771254729925,0,,,,,,,0,NCR1,BRDT,0,0,0
2043,Q15459,Q92966,1,0.551219512195122,0.4015549398786953,0.4763872260369086,0,,,,,,,0,SF3A1,SNAPC3,0,0,0
2078,O76036,P98077,1,0.526829268292683,0.4015551868135966,0.4641922275531397,0,,,,,,,0,NCR1,SHC2,0,0,0
2095,O76036,Q9Y4R8,1,0.551219512195122,0.4015549165761868,0.4763872143856544,0,,,,,,,0,NCR1,TELO2,0,0,0
2098,O76036,Q8NF37,1,0.526829268292683,0.4015549508660999,0.4641921095793914,0,,,,,,,0,NCR1,LPCAT1,0,0,0
2101,Q86YF9,P0CB48,1,0.551219512195122,0.4015548269008556,0.4763871695479887,0,,,,,,,0,DZIP1,UBTFL6,0,0,0
2107,Q8WVR3,P82094,1,0.551219512195122,0.4015547176430863,0.4763871149191041,0,,,,,,,0,TRAPPC14,TMF1,0,0,0
2109,Q8WVR3,Q14507,1,0.551219512195122,0.4015547916790193,0.4763871519370706,0,,,,,,,0,TRAPPC14,EDDM3A,0,0,0
2111,Q8WVR3,A0A3B3IU46,1,0.551219512195122,0.4015551568087757,0.4763873345019488,0,,,,,,,0,TRAPPC14,RAMACL,0,0,0
2123,Q15459,Q8IVV7,1,0.551219512195122,0.4015548438058426,0.4763871780004823,0,,,,,,,0,SF3A1,GID4,0,0,0
2129,Q8WVR3,Q08378,1,0.551219512195122,0.4015546975527923,0.4763871048739571,0,,,,,,,0,TRAPPC14,GOLGA3,0,0,0
2134,Q8WVR3,Q9BTL3,1,0.551219512195122,0.4015551570013959,0.4763873345982589,0,,,,,,,0,TRAPPC14,RAMAC,0,0,0
2136,Q15459,P35269,1,0.7268292682926829,0.4013072036829519,0.5640682359878174,0,,,,,,,0,SF3A1,GTF2F1,0,0,0
2149,Q8WVR3,O43290,1,0.7414634146341462,0.4013704005343875,0.5714169075842669,0,,,,,,,0,TRAPPC14,SART1,0,0,0
2150,Q15459,P52272,1,0.7268292682926829,0.401372522448625,0.5641008953706539,0,,,,,,,0,SF3A1,HNRNPM,0,0,0
2156,P13686,Q76L83,1,0.551219512195122,0.4016331939182055,0.4764263530566637,0,,,,,,,0,ACP5,ASXL2,0,0,0
2161,P13686,P30101,1,0.7219512195121951,0.4013234695657615,0.5616373445389783,0,,,,,,,0,ACP5,PDIA3,0,0,0
2165,P13686,Q14005,1,0.551219512195122,0.4016332244806535,0.4764263683378877,0,,,,,,,0,ACP5,IL16,0,0,0
2166,P13686,P62714,1,0.8097560975609756,0.4009137899111895,0.6053349437360825,0,,,,,,,0,ACP5,PPP2CB,0,0,0
2167,P13686,Q96BR5,1,0.7268292682926829,0.4015080157483807,0.5641686420205319,0,,,,,,,0,ACP5,COA7,0,0,0
2338,Q15459,P31271,1,0.5219512195121951,0.4015549076347541,0.4617530635734746,0,,,,,,,0,SF3A1,HOXA13,0,0,0
2342,Q15459,Q15759,1,0.5365853658536585,0.4015552000098452,0.4690702829317518,0,,,,,,,0,SF3A1,MAPK11,0,0,0
2343,Q15459,Q8NCB2,1,0.526829268292683,0.4015546837986869,0.4641919760456849,0,,,,,,,0,SF3A1,CAMKV,0,0,0
2386,Q15459,O43290,1,0.7268292682926829,0.4016462831779221,0.5642377757353025,0,,,,,,,0,SF3A1,SART1,0,0,0
2405,A6NJV1,P50749,1,0.526829268292683,0.4015554356087271,0.464192351950705,0,,,,,,,0,FAM166C,RASSF2,0,0,0
2436,A6NJV1,Q6P1N0,1,0.526829268292683,0.401633186439974,0.4642312273663285,0,,,,,,,0,FAM166C,CC2D1A,0,0,0
2467,A6NJV1,Q9P2F9,1,0.526829268292683,0.4016330742457072,0.4642311712691951,0,,,,,,,0,FAM166C,ZNF319,0,0,0
2470,A6NJV1,Q6IEG0,1,0.5365853658536585,0.4016339273130441,0.4691096465833513,0,,,,,,,0,FAM166C,SNRNP48,0,0,0
2489,A6NJV1,Q8IVP9,1,0.551219512195122,0.4016333542638307,0.4764264332294763,0,,,,,,,0,FAM166C,ZNF547,0,0,0
2505,A6NJV1,Q9P1V8,1,0.551219512195122,0.4015546519374177,0.4763870820662698,0,,,,,,,0,FAM166C,SAMD15,0,0,0
2555,A6NJV1,P54278,1,0.551219512195122,0.4015547568966571,0.4763871345458895,0,,,,,,,0,FAM166C,PMS2,0,0,0
2608,A6NJV1,Q8IXK0,1,0.551219512195122,0.4015546481900035,0.4763870801925627,0,,,,,,,0,FAM166C,PHC2,0,0,0
2633,Q6T4R5,Q04917,1,0.7219512195121951,0.4013216713837539,0.5616364454479745,0,,,,,,,0,NHS,YWHAH,0,0,0
2648,Q9ULE4,Q12800,1,0.551219512195122,0.4015546859765441,0.476387099085833,0,,,,,,,0,FAM184B,TFCP2,0,0,0
2657,Q6T4R5,P17858,1,0.551219512195122,0.4015546824598914,0.4763870973275067,0,,,,,,,0,NHS,PFKL,0,0,0
2701,Q6T4R5,P35443,1,0.551219512195122,0.4015547553549518,0.4763871337750369,0,,,,,,,0,NHS,THBS4,0,0,0
2717,Q9ULE4,P13686,1,0.551219512195122,0.4015547956631599,0.4763871539291409,0,,,,,,,0,FAM184B,ACP5,0,0,0
2718,Q9ULE4,P0DMN0,1,0.526829268292683,0.4015549076655468,0.4641920879791149,0,,,,,,,0,FAM184B,SULT1A4,0,0,0
2735,Q6T4R5,Q9P2H5,1,0.551219512195122,0.4015550189398434,0.4763872655674827,0,,,,,,,0,NHS,USP35,0,0,0
2755,Q9ULE4,P50225,1,0.526829268292683,0.4015549223161223,0.4641920953044026,0,,,,,,,0,FAM184B,SULT1A1,0,0,0
2757,Q6T4R5,Q15437,1,0.551219512195122,0.4015549968989623,0.4763872545470421,0,,,,,,,0,NHS,SEC23B,0,0,0
2761,Q6T4R5,Q8IZP0,1,0.7268292682926829,0.4013215459249187,0.5640754071088008,0,,,,,,,0,NHS,ABI1,0,0,0
2765,Q6T4R5,O00206,1,0.526829268292683,0.4015550677378553,0.4641921680152691,0,,,,,,,0,NHS,TLR4,0,0,0
2799,Q6T4R5,Q9Y6Q2,1,0.526829268292683,0.4015549427458336,0.4641921055192582,0,,,,,,,0,NHS,STON1,0,0,0
2864,P0DMN0,P50225,1,0.8585365853658536,0.400335701636634,0.6294361435012439,0,,,,,,,0,SULT1A4,SULT1A1,0,0,0
2893,P0DMN0,O75185,1,0.551219512195122,0.4015548512024289,0.4763871816987755,0,,,,,,,0,SULT1A4,ATP2C2,0,0,0
2901,P0DMN0,Q32M84,1,0.551219512195122,0.4015550542836155,0.4763872832393687,0,,,,,,,0,SULT1A4,BTBD16,0,0,0
2938,P0DMN0,Q8N9U0,1,0.551219512195122,0.4015547532706024,0.4763871327328622,0,,,,,,,0,SULT1A4,TC2N,0,0,0
2944,P0DMN0,Q86SS6,1,0.551219512195122,0.4015548372387698,0.4763871747169459,0,,,,,,,0,SULT1A4,SYT9,0,0,0
2956,P0DMN0,Q76L83,1,0.551219512195122,0.4015548096737235,0.4763871609344227,0,,,,,,,0,SULT1A4,ASXL2,0,0,0
2962,P0DMN0,Q15777,1,0.8195121951219512,0.4003691385186534,0.6099406668203022,0,,,,,,,0,SULT1A4,MPPED2,0,0,0
2964,P0DMN0,Q14005,1,0.551219512195122,0.4015548622615015,0.4763871872283117,0,,,,,,,0,SULT1A4,IL16,0,0,0
2966,Q04917,P50749,1,0.7804878048780488,0.4015590866709519,0.5910234457745004,0,,,,,,,0,YWHAH,RASSF2,0,0,0
2967,Q04917,Q53SF7,1,0.7609756097560976,0.4012267928885634,0.5811012013223305,0,,,,,,,0,YWHAH,COBLL1,0,0,0
2968,Q04917,Q6NZY4,1,0.8195121951219512,0.4013076640647806,0.6104099295933658,1,0.0153121319199057,,,,,,0,YWHAH,ZCCHC8,0,0,0
2969,Q04917,Q9P0L2,1,0.7219512195121951,0.4013085601188799,0.5616298898155375,0,,,,,,,0,YWHAH,MARK1,0,0,0
2970,Q04917,Q9NRR6,1,0.7219512195121951,0.4013086247864227,0.5616299221493088,0,,,,,,,0,YWHAH,INPP5E,0,0,0
2971,Q04917,Q9P2M7,1,0.7414634146341462,0.4015293106825802,0.5714963626583632,0,,,,,,,0,YWHAH,CGN,0,0,0
2973,Q04917,Q9Y2J2,1,0.7268292682926829,0.4013066490676312,0.564067958680157,0,,,,,,,0,YWHAH,EPB41L3,0,0,0
2974,Q04917,O43900,1,0.7268292682926829,0.401307117211896,0.5640681927522895,0,,,,,,,0,YWHAH,PRICKLE3,0,0,0
2975,Q04917,Q8TC71,1,0.7268292682926829,0.4013070299356321,0.5640681491141575,0,,,,,,,0,YWHAH,SPATA18,0,0,0
2976,Q04917,Q6UUV7,1,0.7365853658536585,0.4015416229489483,0.5690634944013034,0,,,,,,,0,YWHAH,CRTC3,0,0,0
2977,Q04917,Q5T200,1,0.7268292682926829,0.4013212297591983,0.5640752490259406,0,,,,,,,0,YWHAH,ZC3H13,0,0,0
2978,Q04917,Q86XN8,1,0.7365853658536585,0.4015243196690983,0.5690548427613784,0,,,,,,,0,YWHAH,MEX3D,0,0,0
2980,Q04917,P85299,1,0.7170731707317073,0.4013236265049649,0.5591983986183361,0,,,,,,,0,YWHAH,PRR5,0,0,0
2982,Q04917,Q14966,1,0.7463414634146343,0.4015304748214174,0.5739359691180258,0,,,,,,,0,YWHAH,ZNF638,0,0,0
2984,Q04917,Q7L804,1,0.7463414634146343,0.4013941149117739,0.573867789163204,0,,,,,,,0,YWHAH,RAB11FIP2,0,0,0
2985,Q04917,O15530,1,0.8048780487804879,0.4013073677989855,0.6030927082897367,0,,,,,,,0,YWHAH,PDPK1,0,0,0
2986,Q04917,O75167,1,0.7804878048780488,0.4014073808773827,0.5909475928777157,0,,,,,,,0,YWHAH,PHACTR2,0,0,0
2987,Q04917,O96013,1,0.7414634146341462,0.4015296723454832,0.5714965434898147,0,,,,,,,0,YWHAH,PAK4,0,0,0
2990,Q04917,Q5TB80,1,0.7317073170731707,0.4013215261873885,0.5665144216302795,0,,,,,,,0,YWHAH,CEP162,0,0,0
2992,Q04917,Q6P1L5,1,0.775609756097561,0.4014105841371536,0.5885101701173573,0,,,,,,,0,YWHAH,FAM117B,0,0,0
2994,Q04917,O15056,1,0.7268292682926829,0.4013064161318564,0.5640678422122697,1,0.094228504122497,,,,,,0,YWHAH,SYNJ2,0,0,0
2996,Q04917,Q9GZU8,1,0.7268292682926829,0.402014329464195,0.564421798878439,1,0.0164899882214369,,,,,,0,YWHAH,PSME3IP1,0,0,0
2997,Q04917,P21580,1,0.7268292682926829,0.4013066289941103,0.5640679486433966,0,,,,,,,0,YWHAH,TNFAIP3,0,0,0
3001,Q04917,Q15648,1,0.8243902439024391,0.4013060498277417,0.6128481468650904,0,,,,,,,0,YWHAH,MED1,0,0,0
3002,Q04917,Q15643,1,0.7463414634146343,0.4015304334308553,0.5739359484227448,0,,,,,,,0,YWHAH,TRIP11,0,0,0
3003,Q04917,Q92622,1,0.7268292682926829,0.4013064658432738,0.5640678670679784,1,0.0494699646643109,,,,,,0,YWHAH,RUBCN,0,0,0
3005,Q04917,P62714,1,0.8292682926829269,0.4013733311750856,0.6153208119290062,0,,,,,,,0,YWHAH,PPP2CB,0,0,0
3007,Q04917,O95994,1,0.7268292682926829,0.4008470738357306,0.5638381710642068,1,0.0176678445229682,,,,,,0,YWHAH,AGR2,0,0,0
3009,Q04917,Q9H6H4,1,0.7268292682926829,0.401856200316364,0.5643427343045234,0,,,,,,,0,YWHAH,REEP4,0,0,0
3012,Q04917,Q15276,1,0.7463414634146343,0.4013934851891748,0.5738674743019045,0,,,,,,,0,YWHAH,RABEP1,0,0,0
3038,Q8N136,P60411,1,0.5219512195121951,0.4015070489192245,0.4617291342157098,0,,,,,,,0,DAW1,KRTAP10-9,0,0,0
3048,Q8N136,O94989,1,0.5365853658536585,0.4016331694729968,0.4691092676633276,0,,,,,,,0,DAW1,ARHGEF15,0,0,0
3049,Q8N136,O43463,1,0.8048780487804879,0.4011000243155147,0.6029890365480013,0,,,,,,,0,DAW1,SUV39H1,0,0,0
3059,Q9ULE4,Q8N9U0,1,0.526829268292683,0.4016330285457115,0.4642311484191972,0,,,,,,,0,FAM184B,TC2N,0,0,0
3073,Q9ULE4,Q86SS6,1,0.551219512195122,0.401554657906734,0.4763870850509279,0,,,,,,,0,FAM184B,SYT9,0,0,0
3087,O95157,Q92541,1,0.551219512195122,0.4016330863979079,0.4764262992965149,0,,,,,,,0,NXPH3,RTF1,0,0,0
3093,O95157,Q8TF50,1,0.526829268292683,0.4015549585452501,0.4641921134189665,0,,,,,,,0,NXPH3,ZNF526,0,0,0
3115,O95157,Q8IU60,1,0.7219512195121951,0.400786326065407,0.561368772788801,0,,,,,,,0,NXPH3,DCP2,0,0,0
3141,Q9NRZ9,Q8IXW5,1,0.7268292682926829,0.4013066450417717,0.5640679566672273,0,,,,,,,0,HELLS,RPAP2,0,0,0
3158,Q9NRZ9,Q9H6T3,1,0.7268292682926829,0.4013071952759295,0.5640682317843062,0,,,,,,,0,HELLS,RPAP3,0,0,0
3173,Q9NRZ9,Q99788,1,0.7268292682926829,0.4014563845454447,0.5641428264190638,0,,,,,,,0,HELLS,CMKLR1,0,0,0
3178,Q9NRZ9,Q8NHV4,1,0.7219512195121951,0.4014434271965993,0.5616973233543971,0,,,,,,,0,HELLS,NEDD1,0,0,0
3195,Q9NRZ9,Q9ULW0,1,0.7268292682926829,0.401415798523684,0.5641225334081834,0,,,,,,,0,HELLS,TPX2,0,0,0
