,uidA,uidB,Predicted Classes,Probability Score,Regression Value,mean_prob_aff,stringdb_check,score_norm,uidA_irefindex,uidB_irefindex,method,Host_organism_taxid,numParticipants,irefindex_check,GeneA,GeneB,OP_A,OP_B,OP_check
6407,P02461,Q9BQ52,1,0.551219512195122,0.401633013734093,0.4764262629646075,0,,,,,,,0,COL3A1,ELAC2,1,0,1
6537,O75503,P20908,1,0.5219512195121951,0.4016813471591557,0.4618162833356754,0,,,,,,,0,CLN5,COL5A1,0,1,1
7419,P04198,P57729,1,0.551219512195122,0.4016330227279433,0.4764262674615326,0,,,,,,,0,MYCN,RAB38,1,0,1
7879,B3KS81,Q9UNN8,1,0.551219512195122,0.4016329523349043,0.4764262322650131,0,,,,,,,0,SRRM5,PROCR,0,1,1
8091,P10451,Q8TAC1,1,0.551219512195122,0.4016331480778836,0.4764263301365028,0,,,,,,,0,SPP1,RFESD,1,0,1
8362,P19838,P19838,1,0.951219512195122,0.3999322114542329,0.6755758618246774,0,,P19838,P19838,"psi-mi:""MI:0364""(inferred by curator)",taxid:9606(Homo sapiens),2.0,1,NFKB1,NFKB1,1,1,1
8587,P17612,Q9BQN1,1,0.551219512195122,0.401633002029701,0.4764262571124115,0,,,,,,,0,PRKACA,FAM83C,1,0,1
8757,A0A0B4J1V7,P12643,1,0.551219512195122,0.4016331032684951,0.4764263077318085,0,,,,,,,0,IGHV7-81,BMP2,0,1,1
8788,P28482,Q96PX1,1,0.551219512195122,0.4016330779558044,0.4764262950754632,0,,,,,,,0,MAPK1,RNF157,1,0,1
9092,P10451,Q5T0F9,1,0.551219512195122,0.4016328927972247,0.4764262024961733,0,,,,,,,0,SPP1,CC2D1B,1,0,1
9135,P04637,Q9P0W0,1,0.551219512195122,0.4016331584900686,0.4764263353425952,0,,,,,,,0,TP53,IFNK,1,0,1
9355,P42574,P42574,1,0.8390243902439025,0.4126232959769474,0.6258238431104249,0,,,,,,,0,CASP3,CASP3,1,1,1
9394,P12931,P53420,1,0.551219512195122,0.4016328609719339,0.476426186583528,0,,,,,,,0,SRC,COL4A4,1,0,1
9481,P01258,Q71UM5,1,0.526829268292683,0.4016330487478223,0.4642311585202526,0,,,,,,,0,CALCA,RPS27L,1,0,1
9700,Q96HV5,Q9UNN8,1,0.551219512195122,0.4016339241212806,0.4764267181582013,0,,,,,,,0,TMEM41A,PROCR,0,1,1
9844,P10451,Q9BT43,1,0.551219512195122,0.4016328749999421,0.476426193597532,0,,,,,,,0,SPP1,POLR3GL,1,0,1
10504,P35354,Q9Y2J2,1,0.551219512195122,0.4016329404043129,0.4764262262997174,0,,,,,,,0,PTGS2,EPB41L3,1,0,1
11133,P02452,Q96CH1,1,0.526829268292683,0.4016332774677431,0.464231272880213,0,,,,,,,0,COL1A1,GPR146,1,0,1
11564,P12524,Q13188,1,0.551219512195122,0.4016329588905339,0.4764262355428279,0,,,,,,,0,MYCL,STK3,1,0,1
11920,P06401,Q96DZ1,1,0.551219512195122,0.4016329118588872,0.4764262120270046,0,,,,,,,0,PGR,ERLEC1,1,0,1
12048,P02452,Q96MC9,1,0.526829268292683,0.4016810829396182,0.4642551756161506,0,,,,,,,0,COL1A1,IKBKE-AS1,1,0,1
12867,P02461,Q9UKQ9,1,0.526829268292683,0.4016811438046982,0.4642552060486906,0,,,,,,,0,COL3A1,KLK9,1,0,1
13564,P02452,Q9BZG8,1,0.551219512195122,0.4016329679746278,0.4764262400848749,0,,,,,,,0,COL1A1,DPH1,1,0,1
13964,P04004,P17858,1,0.551219512195122,0.4016329554284373,0.4764262338117796,0,,,,,,,0,VTN,PFKL,1,0,1
14238,P25940,P54136,1,0.526829268292683,0.4016812362429764,0.4642552522678297,0,,,,,,,0,COL5A3,RARS1,1,0,1
16660,P08123,Q96BR6,1,0.551219512195122,0.4016328837308578,0.4764261979629899,0,,,,,,,0,COL1A2,ZNF669,1,0,1
17449,A0A286YF18,P04198,1,0.551219512195122,0.4016329279463014,0.4764262200707116,0,,,,,,,0,SMIM44,MYCN,0,1,1
17653,P10451,P85299,1,0.5365853658536585,0.4016333703680117,0.4691093681108351,0,,,,,,,0,SPP1,PRR5,1,0,1
18728,P02452,Q99742,1,0.551219512195122,0.4016329742712753,0.4764262432331986,0,,,,,,,0,COL1A1,NPAS1,1,0,1
18850,P06401,Q8N6M3,1,0.5219512195121951,0.401681284485979,0.461816251999087,0,,,,,,,0,PGR,FITM2,1,0,1
18928,P23219,Q9UQC9,1,0.551219512195122,0.4016330090669691,0.4764262606310455,0,,,,,,,0,PTGS1,CLCA2,1,0,1
20317,P18075,Q9P2N2,1,0.551219512195122,0.401633016709564,0.476426264452343,0,,,,,,,0,BMP7,ARHGAP28,1,0,1
20886,P02461,Q5SQN1,1,0.5219512195121951,0.4016811127273527,0.4618161661197739,0,,,,,,,0,COL3A1,SNAP47,1,0,1
20961,O76036,P25940,1,0.551219512195122,0.4016328709635136,0.4764261915793177,0,,,,,,,0,NCR1,COL5A3,0,1,1
20964,P05997,Q3YEC7,1,0.551219512195122,0.4016328846628902,0.4764261984290061,0,,,,,,,0,COL5A2,RABL6,1,0,1
21166,P02461,Q9UKP6,1,0.551219512195122,0.401632877510118,0.47642619485262,0,,,,,,,0,COL3A1,UTS2R,1,0,1
22664,P49841,Q8N1W2,1,0.551219512195122,0.4016330146797391,0.4764262634374305,0,,,,,,,0,GSK3B,ZNF710,1,0,1
23316,P10415,P40121,1,0.551219512195122,0.4016329058190382,0.4764262090070801,0,,,,,,,0,BCL2,CAPG,1,0,1
23325,Q04206,Q06889,1,0.551219512195122,0.4016328545846641,0.476426183389893,0,,,,,,,0,RELA,EGR3,1,0,1
23713,O14788,Q58FG1,1,0.551219512195122,0.4016331529611187,0.4764263325781203,0,,,,,,,0,TNFSF11,HSP90AA4P,1,0,1
24453,P05997,Q8N8B7,1,0.551219512195122,0.4016328970559708,0.4764262046255464,0,,,,,,,0,COL5A2,TCEANC,1,0,1
25137,A0A075B6S6,P04198,1,0.551219512195122,0.4016328949860686,0.4764262035905953,0,,,,,,,0,IGKV2D-30,MYCN,0,1,1
25434,A8MYV0,O14788,1,0.551219512195122,0.4016331196479026,0.4764263159215123,0,,,,,,,0,DCDC2C,TNFSF11,0,1,1
25590,P08123,P0C7T7,1,0.526829268292683,0.4016811811552589,0.4642552247239709,0,,,,,,,0,COL1A2,FRMD6-AS1,1,0,1
26331,P03372,Q9H2K8,1,0.551219512195122,0.4016331641574542,0.4764263381762881,0,,,,,,,0,ESR1,TAOK3,1,0,1
26915,P10415,Q9BTN0,1,0.551219512195122,0.4016332066519743,0.4764263594235481,0,,,,,,,0,BCL2,LRFN3,1,0,1
27121,P04629,Q8IU57,1,0.551219512195122,0.4016331868141382,0.4764263495046301,0,,,,,,,0,NTRK1,IFNLR1,1,0,1
27585,O43353,P02461,1,0.551219512195122,0.4016330670883699,0.4764262896417459,0,,,,,,,0,RIPK2,COL3A1,0,1,1
27700,P20908,Q8IWF2,1,0.526829268292683,0.4016812002107822,0.4642552342517325,0,,,,,,,0,COL5A1,FOXRED2,1,0,1
28694,P08123,Q8NGU1,1,0.551219512195122,0.401632973333592,0.4764262427643569,0,,,,,,,0,COL1A2,OR9A1P,1,0,1
28864,P0DJD7,P31749,1,0.5365853658536585,0.401633181877723,0.4691092738656907,0,,,,,,,0,PGA4,AKT1,0,1,1
29437,P12931,P12931,1,0.8926829268292683,0.4077529554194498,0.650217941124359,0,,,,,,,0,SRC,SRC,1,1,1
29947,P02452,Q8N1D5,1,0.551219512195122,0.4016329555190528,0.4764262338570874,0,,,,,,,0,COL1A1,CFAP107,1,0,1
30110,O15522,P04198,1,0.551219512195122,0.4016328126169413,0.4764261624060316,0,,,,,,,0,NKX2-8,MYCN,0,1,1
30128,H3BNL1,P04637,1,0.551219512195122,0.4016330084968573,0.4764262603459896,0,,,,,,,0,C3orf84,TP53,0,1,1
30437,P02452,Q5JR12,1,0.551219512195122,0.401633004340909,0.4764262582680155,0,,,,,,,0,COL1A1,PPM1J,1,0,1
30598,P05997,P50391,1,0.551219512195122,0.4016329441233744,0.4764262281592482,0,,,,,,,0,COL5A2,NPY4R,1,0,1
31661,P05997,Q6IPT4,1,0.551219512195122,0.4016329815562616,0.4764262468756918,0,,,,,,,0,COL5A2,CYB5RL,1,0,1
31840,P04637,Q2M2D7,1,0.551219512195122,0.4016331212077918,0.4764263167014569,0,,,,,,,0,TP53,TBC1D28,1,0,1
31891,Q6UUV7,Q9UNN8,1,0.551219512195122,0.4016331268822746,0.4764263195386983,0,,,,,,,0,CRTC3,PROCR,0,1,1
32325,P08123,Q16222,1,0.551219512195122,0.4016329761557625,0.4764262441754422,0,,,,,,,0,COL1A2,UAP1,1,0,1
32721,P10415,Q9BPX3,1,0.5219512195121951,0.4016811177965164,0.4618161686543557,0,,,,,,,0,BCL2,NCAPG,1,0,1
33137,P31749,Q6P996,1,0.551219512195122,0.4016329672949038,0.4764262397450128,0,,,,,,,0,AKT1,PDXDC1,1,0,1
33450,P06401,P06401,1,0.7268292682926829,0.4094081151809423,0.5681186917368126,0,,,,,,,0,PGR,PGR,1,1,1
33949,P05412,P59282,1,0.526829268292683,0.4016333640559381,0.4642313161743105,0,,,,,,,0,JUN,TPPP2,1,0,1
35313,P16284,P25940,1,0.526829268292683,0.4016812266122582,0.4642552474524706,0,,,,,,,0,PECAM1,COL5A3,0,1,1
35596,O14788,O15231,1,0.551219512195122,0.4016331692505775,0.4764263407228497,0,,,,,,,0,TNFSF11,ZNF185,1,0,1
35679,P25940,Q06546,1,0.526829268292683,0.4016332332324002,0.4642312507625415,0,,,,,,,0,COL5A3,GABPA,1,0,1
35822,P00167,P04198,1,0.526829268292683,0.4016331994987223,0.4642312338957026,0,,,,,,,0,CYB5A,MYCN,0,1,1
36610,P01106,Q9H341,1,0.551219512195122,0.4016333375007443,0.4764264248479332,0,,,,,,,0,MYC,OR51M1,1,0,1
36829,P04637,Q70IA6,1,0.551219512195122,0.4016331429821806,0.4764263275886513,0,,,,,,,0,TP53,MOB2,1,0,1
37973,P43235,Q8WXE0,1,0.551219512195122,0.4016328973041722,0.4764262047496471,0,,,,,,,0,CTSK,CASKIN2,1,0,1
39220,O14788,Q9UI47,1,0.551219512195122,0.4016328468963234,0.4764261795457227,0,,,,,,,0,TNFSF11,CTNNA3,1,0,1
39468,P12931,Q9P2E5,1,0.551219512195122,0.4016331372057627,0.4764263247004423,0,,,,,,,0,SRC,CHPF2,1,0,1
39676,A8MV65,P02452,1,0.551219512195122,0.4016329556403205,0.4764262339177212,0,,,,,,,0,VGLL3,COL1A1,0,1,1
39882,A0A2R8YFL7,P02818,1,0.5219512195121951,0.4016331979602786,0.4617922087362368,0,,,,,,,0,OOSP4A,BGLAP,0,1,1
40275,P02461,Q96NL0,1,0.551219512195122,0.401632950943454,0.476426231569288,0,,,,,,,0,COL3A1,RUNDC3B,1,0,1
40597,Q8NGS7,Q9Y4K3,1,0.551219512195122,0.4016331388118327,0.4764263255034773,0,,,,,,,0,OR13C8,TRAF6,0,1,1
41814,P04004,Q96S38,1,0.551219512195122,0.401632868399112,0.4764261902971169,0,,,,,,,0,VTN,RPS6KC1,1,0,1
42285,Q16539,Q96TA2,1,0.551219512195122,0.4016330263701921,0.4764262692826571,0,,,,,,,0,MAPK14,YME1L1,1,0,1
42607,Q6UX07,Q9UNN8,1,0.526829268292683,0.4016331164001404,0.4642311923464116,0,,,,,,,0,DHRS13,PROCR,0,1,1
42619,P02461,Q5JNZ3,1,0.551219512195122,0.4016328833076897,0.4764261977514058,0,,,,,,,0,COL3A1,ZNF311,1,0,1
43560,O14662,P02818,1,0.526829268292683,0.4016330348562908,0.4642311515744869,0,,,,,,,0,STX16,BGLAP,0,1,1
43747,P54278,Q9Y4K3,1,0.551219512195122,0.4016330499682666,0.4764262810816942,0,,,,,,,0,PMS2,TRAF6,0,1,1
44464,P02452,P32238,1,0.551219512195122,0.4016331966457063,0.4764263544204141,0,,,,,,,0,COL1A1,CCKAR,1,0,1
44856,P06401,Q96NG8,1,0.551219512195122,0.4016330800042755,0.4764262960996988,0,,,,,,,0,PGR,ZNF582,1,0,1
45669,P25940,Q9BYW1,1,0.551219512195122,0.401632924455027,0.4764262183250745,0,,,,,,,0,COL5A3,SLC2A11,1,0,1
45942,P25940,Q969R8,1,0.551219512195122,0.4016330672973935,0.4764262897462578,0,,,,,,,0,COL5A3,ITFG2,1,0,1
46397,O94955,P06401,1,0.551219512195122,0.4016330233027518,0.4764262677489369,0,,,,,,,0,RHOBTB3,PGR,0,1,1
46762,Q16586,Q9UNN8,1,0.551219512195122,0.4016331119826741,0.4764263120888981,0,,,,,,,0,SGCA,PROCR,0,1,1
47143,P02452,Q96AY3,1,0.5219512195121951,0.4016811439616973,0.4618161817369462,0,,,,,,,0,COL1A1,FKBP10,1,0,1
47241,P06401,Q0VAM2,1,0.551219512195122,0.4016329780487694,0.4764262451219457,0,,,,,,,0,PGR,RASGEF1B,1,0,1
47391,P06401,Q92993,1,0.551219512195122,0.4016329202150819,0.4764262162051019,0,,,,,,,0,PGR,KAT5,1,0,1
48420,P06401,Q86YW0,1,0.526829268292683,0.4016332279806804,0.4642312481366817,0,,,,,,,0,PGR,PLCZ1,1,0,1
49003,P05997,Q9UBT2,1,0.551219512195122,0.4016329285264104,0.4764262203607662,0,,,,,,,0,COL5A2,UBA2,1,0,1
49180,O00203,P06401,1,0.551219512195122,0.4016329915429878,0.4764262518690549,0,,,,,,,0,AP3B1,PGR,0,1,1
49410,Q9UNN4,Q9UNN8,1,0.551219512195122,0.4016331508005719,0.4764263314978469,0,,,,,,,0,GTF2A1L,PROCR,0,1,1
49772,P25940,P98077,1,0.551219512195122,0.4016328315970977,0.4764261718961098,0,,,,,,,0,COL5A3,SHC2,1,0,1
50104,P08123,Q96BF3,1,0.526829268292683,0.4016811299062857,0.4642551990994843,0,,,,,,,0,COL1A2,TMIGD2,1,0,1
51728,P10275,Q08999,1,0.551219512195122,0.4016328962013135,0.4764262041982177,0,,,,,,,0,AR,RBL2,1,0,1
52324,P08123,P32780,1,0.551219512195122,0.4016328547796407,0.4764261834873813,0,,,,,,,0,COL1A2,GTF2H1,1,0,1
52690,O95872,P08123,1,0.526829268292683,0.4016813068688487,0.4642552875807658,0,,,,,,,0,GPANK1,COL1A2,0,1,1
53116,P17612,Q15003,1,0.551219512195122,0.4016331379581889,0.4764263250766554,0,,,,,,,0,PRKACA,NCAPH,1,0,1
53421,P02452,Q9HB14,1,0.551219512195122,0.4016328826245381,0.47642619740983,0,,,,,,,0,COL1A1,KCNK13,1,0,1
53654,A8MUL3,P04198,1,0.526829268292683,0.4016331146462097,0.4642311914694463,0,,,,,,,0,ADARB2-AS1,MYCN,0,1,1
53911,P17612,Q8N468,1,0.551219512195122,0.4016331649610131,0.4764263385780675,0,,,,,,,0,PRKACA,MFSD4A,1,0,1
54120,Q04206,Q96DH6,1,0.551219512195122,0.4016329627004367,0.4764262374477793,0,,,,,,,0,RELA,MSI2,1,0,1
54669,P23219,Q9P2N7,1,0.551219512195122,0.4016330541898138,0.4764262831924679,0,,,,,,,0,PTGS1,KLHL13,1,0,1
54894,P43235,Q9NRZ9,1,0.551219512195122,0.4016328793590772,0.4764261957770996,0,,,,,,,0,CTSK,HELLS,1,0,1
56170,P25940,Q86YJ6,1,0.551219512195122,0.4016328346406828,0.4764261734179024,0,,,,,,,0,COL5A3,THNSL2,1,0,1
56852,P05997,Q8IWR1,1,0.551219512195122,0.4016328730201197,0.4764261926076208,0,,,,,,,0,COL5A2,TRIM59,1,0,1
56893,P01106,Q9P2F9,1,0.526829268292683,0.4016331029751211,0.464231185633902,0,,,,,,,0,MYC,ZNF319,1,0,1
56911,O43711,P04198,1,0.551219512195122,0.4016330287530505,0.4764262704740862,1,0.0306242638398115,,,,,,0,TLX3,MYCN,0,1,1
56927,O14788,Q2MV58,1,0.551219512195122,0.4016330511074019,0.4764262816512619,0,,,,,,,0,TNFSF11,TCTN1,1,0,1
57039,P10415,Q9UNM6,1,0.551219512195122,0.4016329764277034,0.4764262443114126,0,,,,,,,0,BCL2,PSMD13,1,0,1
57123,P05997,Q13087,1,0.551219512195122,0.4016329094053555,0.4764262108002387,0,,,,,,,0,COL5A2,PDIA2,1,0,1
57604,Q02040,Q9UNN8,1,0.551219512195122,0.4016330850276257,0.4764262986113738,0,,,,,,,0,AKAP17A,PROCR,0,1,1
57828,P04198,P63279,1,0.551219512195122,0.4016329212781312,0.4764262167366266,0,,,,,,,0,MYCN,UBE2I,1,0,1
58071,P12524,Q14500,1,0.551219512195122,0.4016331326892057,0.4764263224421639,0,,,,,,,0,MYCL,KCNJ12,1,0,1
58240,A0MZ66,P05412,1,0.551219512195122,0.4016328336086836,0.4764261729019028,1,0.0035335689045936,,,,,,0,SHTN1,JUN,0,1,1
58338,P50749,Q9Y4K3,1,0.551219512195122,0.4016331304439066,0.4764263213195143,0,,,,,,,0,RASSF2,TRAF6,0,1,1
58685,P43235,Q9BXL6,1,0.551219512195122,0.401633057747887,0.4764262849715045,0,,,,,,,0,CTSK,CARD14,1,0,1
59768,P02452,P63252,1,0.551219512195122,0.401633104399851,0.4764263082974865,0,,,,,,,0,COL1A1,KCNJ2,1,0,1
60615,O14904,P10415,1,0.551219512195122,0.4016329487787251,0.4764262304869235,0,,,,,,,0,WNT9A,BCL2,0,1,1
60759,Q9UNN8,Q9Y388,1,0.551219512195122,0.4016334768050343,0.4764264945000781,0,,,,,,,0,PROCR,RBMX2,1,0,1
61211,P04198,P13385,1,0.551219512195122,0.4016330325022023,0.4764262723486621,1,0.1460541813898704,,,,,,0,MYCN,TDGF1,1,0,1
61687,P12524,Q08378,1,0.551219512195122,0.4016328980312909,0.4764262051132064,0,,,,,,,0,MYCL,GOLGA3,1,0,1
62010,P19838,Q9C0B9,1,0.551219512195122,0.4016331862346799,0.4764263492149009,0,,,,,,,0,NFKB1,ZCCHC2,1,0,1
62152,Q16539,Q8NFC6,1,0.5317073170731708,0.4016810614973177,0.4666941892852442,0,,,,,,,0,MAPK14,BOD1L1,1,0,1
62485,P04198,P84085,1,0.526829268292683,0.4016332950993351,0.464231281696009,0,,,,,,,0,MYCN,ARF5,1,0,1
62529,P12643,Q96MY7,1,0.526829268292683,0.4016331968343624,0.4642312325635226,0,,,,,,,0,BMP2,FAM161B,1,0,1
62741,P31749,Q6PJG2,1,0.551219512195122,0.4016328401850627,0.4764261761900923,0,,,,,,,0,AKT1,MIDEAS,1,0,1
62746,O14788,O75688,1,0.551219512195122,0.4016331708232474,0.4764263415091847,0,,,,,,,0,TNFSF11,PPM1B,1,0,1
64103,O95157,P04637,1,0.551219512195122,0.4016330824920193,0.4764262973435706,0,,,,,,,0,NXPH3,TP53,0,1,1
64640,P25940,P52737,1,0.526829268292683,0.401681031481675,0.464255149887179,0,,,,,,,0,COL5A3,ZNF136,1,0,1
64740,P31749,Q9NXG0,1,0.551219512195122,0.4016330593357468,0.4764262857654344,0,,,,,,,0,AKT1,CNTLN,1,0,1
65492,P05997,P48048,1,0.551219512195122,0.4016330526123287,0.4764262824037253,0,,,,,,,0,COL5A2,KCNJ1,1,0,1
65711,P04637,P47756,1,0.551219512195122,0.4016331084634213,0.4764263103292716,1,0.0494699646643109,,,,,,0,TP53,CAPZB,1,0,1
65756,P17612,Q8IUF8,1,0.551219512195122,0.4016330927793438,0.4764263024872329,0,,,,,,,0,PRKACA,RIOX2,1,0,1
65780,P10451,Q5VYY1,1,0.551219512195122,0.4016333460768717,0.4764264291359968,0,,,,,,,0,SPP1,ANKRD22,1,0,1
68976,P13686,P18075,1,0.551219512195122,0.40163319077749,0.4764263514863059,0,,,,,,,0,ACP5,BMP7,0,1,1
71059,P58182,Q9Y4K3,1,0.551219512195122,0.4016332453365895,0.4764263787658557,0,,,,,,,0,OR12D2,TRAF6,0,1,1
71478,P25940,Q9Y6N1,1,0.526829268292683,0.4016331973227645,0.4642312328077237,0,,,,,,,0,COL5A3,COX11,1,0,1
72703,O75167,P04198,1,0.551219512195122,0.4016328499702351,0.4764261810826785,0,,,,,,,0,PHACTR2,MYCN,0,1,1
73162,P12755,P18075,1,0.551219512195122,0.401633015766011,0.4764262639805665,0,,,,,,,0,SKI,BMP7,0,1,1
73559,P08123,P31271,1,0.551219512195122,0.4016328748878963,0.4764261935415091,0,,,,,,,0,COL1A2,HOXA13,1,0,1
73695,P12931,Q5T200,1,0.551219512195122,0.401632872672118,0.47642619243362,0,,,,,,,0,SRC,ZC3H13,1,0,1
73711,P04637,Q8IYW5,1,0.526829268292683,0.4016331929923482,0.4642312306425156,1,0.342756183745583,,,,,,0,TP53,RNF168,1,0,1
74242,P05198,Q04206,1,0.551219512195122,0.4016330290621202,0.4764262706286211,1,0.0800942285041225,,,,,,0,EIF2S1,RELA,0,1,1
74562,P12524,Q96ME1,1,0.551219512195122,0.4016331737133352,0.4764263429542286,0,,,,,,,0,MYCL,FBXL18,1,0,1
75384,Q8IYJ2,Q9UNN8,1,0.526829268292683,0.4016332751367152,0.4642312717146991,0,,,,,,,0,C10orf67,PROCR,0,1,1
76004,O14793,P02452,1,0.551219512195122,0.4016328400727642,0.4764261761339431,0,,,,,,,0,MSTN,COL1A1,0,1,1
76391,Q04206,Q8NGA1,1,0.551219512195122,0.4016330969321828,0.4764263045636524,0,,,,,,,0,RELA,OR1M1,1,0,1
76420,P02452,P15882,1,0.5219512195121951,0.401681343430311,0.4618162814712531,0,,,,,,,0,COL1A1,CHN1,1,0,1
77136,P05997,Q6NXT6,1,0.5219512195121951,0.401681184258937,0.461816201885566,0,,,,,,,0,COL5A2,TAPT1,1,0,1
77450,O60763,Q16539,1,0.551219512195122,0.4016328099739949,0.4764261610845585,0,,,,,,,0,USO1,MAPK14,0,1,1
78310,P05997,Q9Y606,1,0.551219512195122,0.4016327759313274,0.4764261440632247,0,,,,,,,0,COL5A2,PUS1,1,0,1
79364,A4FU49,Q9UNN8,1,0.551219512195122,0.4016329276110987,0.4764262199031103,0,,,,,,,0,SH3D21,PROCR,0,1,1
79655,A0A0A0MS14,P12643,1,0.551219512195122,0.4016330076309629,0.4764262599130424,0,,,,,,,0,IGHV1-45,BMP2,0,1,1
79955,P06401,Q9UKF6,1,0.526829268292683,0.40163324992148,0.4642312591070814,0,,,,,,,0,PGR,CPSF3,1,0,1
80225,P08123,Q9Y6Q5,1,0.551219512195122,0.4016331716672271,0.4764263419311745,0,,,,,,,0,COL1A2,AP1M2,1,0,1
80268,P28482,Q9BPX3,1,0.551219512195122,0.4016328743638371,0.4764261932794795,0,,,,,,,0,MAPK1,NCAPG,1,0,1
81128,P25940,Q13495,1,0.551219512195122,0.4016327731116629,0.4764261426533924,0,,,,,,,0,COL5A3,MAMLD1,1,0,1
81426,P0DJD8,P31749,1,0.551219512195122,0.4016328481463075,0.4764261801707147,0,,,,,,,0,PGA3,AKT1,0,1,1
82442,P10451,Q6UWW0,1,0.551219512195122,0.4016332570302607,0.4764263846126914,0,,,,,,,0,SPP1,LCN15,1,0,1
82675,P25940,Q86YF9,1,0.551219512195122,0.4016330804652958,0.4764262963302089,0,,,,,,,0,COL5A3,DZIP1,1,0,1
82708,P0DMN0,P18075,1,0.551219512195122,0.4016329753014165,0.4764262437482692,0,,,,,,,0,SULT1A4,BMP7,0,1,1
82780,P02461,P49888,1,0.551219512195122,0.4016329320850298,0.4764262221400759,0,,,,,,,0,COL3A1,SULT1E1,1,0,1
83056,P10451,Q96HH9,1,0.551219512195122,0.401633386140984,0.476426449168053,0,,,,,,,0,SPP1,GRAMD2B,1,0,1
83169,P25940,Q86WT6,1,0.551219512195122,0.4016328805514268,0.4764261963732744,0,,,,,,,0,COL5A3,TRIM69,1,0,1
83171,P01106,Q9BYV6,1,0.551219512195122,0.401633047910337,0.4764262800527294,0,,,,,,,0,MYC,TRIM55,1,0,1
83527,P17612,Q32M84,1,0.526829268292683,0.4016333422623613,0.4642313052775221,0,,,,,,,0,PRKACA,BTBD16,1,0,1
83969,O75333,P05997,1,0.551219512195122,0.4016328952089277,0.4764262037020248,0,,,,,,,0,TBX10,COL5A2,0,1,1
84400,O95476,P04637,1,0.551219512195122,0.4016332024779208,0.4764263573365214,0,,,,,,,0,CTDNEP1,TP53,0,1,1
84467,P42574,Q99719,1,0.551219512195122,0.401633149844619,0.4764263310198705,0,,,,,,,0,CASP3,SEPTIN5,1,0,1
85076,P08123,P50548,1,0.526829268292683,0.4016331846298442,0.4642312264612636,0,,,,,,,0,COL1A2,ERF,1,0,1
85450,O75829,P02452,1,0.551219512195122,0.4016328933450406,0.4764262027700813,0,,,,,,,0,CNMD,COL1A1,0,1,1
85897,P05997,Q9H8X9,1,0.551219512195122,0.4016328289588387,0.4764261705769803,0,,,,,,,0,COL5A2,ZDHHC11,1,0,1
86030,P04198,Q6P1L5,1,0.551219512195122,0.4016336074246157,0.4764265598098688,0,,,,,,,0,MYCN,FAM117B,1,0,1
86175,P18075,Q14005,1,0.551219512195122,0.4016330576284969,0.4764262849118094,0,,,,,,,0,BMP7,IL16,1,0,1
86621,P02461,Q9BZI1,1,0.526829268292683,0.4016813997974378,0.4642553340450603,0,,,,,,,0,COL3A1,IRX2,1,0,1
86624,P01106,P55916,1,0.551219512195122,0.4016330194816251,0.4764262658383735,0,,,,,,,0,MYC,UCP3,1,0,1
